26 36 40
0 25.5 89.25 215
79 118 150 47
171 41 71 141
69 158 197 30
220 22 219 23
213 29 135 107
120 122 118 124
116 126 115 127
110 132 70 172
70 187 115 142
151 106 234 23
244 28 184 88
103 169 70 202
75 212 101 186
204 83 255 32
268 34 219 83
102 200 80 222
86 231 103 214
246 71 275 42
288 44 263 69
103 229 92 240
97 250 105 242
272 75 300 47
307 55 284 78
106 256 105 257
100 262 99 263
293 84 316 61
326 66 300 92
306 101 334 73
343 79 312 110
318 119 349 88
355 97 323 129
325 142 360 107
366 116 330 152
333 164 370 127
372 140 340 172
344 183 374 153
375 167 349 193
353 204 374 183
376 196 356 216
360 225 361 224
